source,lat1,lon1,dest,lat2,lon2
XIY,34.447102,108.751999,URC,43.90710068,87.47419739
XIY,34.447102,108.751999,UYN,38.35971,109.590927
XIY,34.447102,108.751999,XMN,24.54400063,118.1279984
XIY,34.447102,108.751999,XNN,36.5275,102.042999
XIY,34.447102,108.751999,YBP,28.80055556,104.545
XMN,24.54400063,118.1279984,CSX,28.18919945,113.2200012
XMN,24.54400063,118.1279984,CTU,30.57850075,103.9469986
XMN,24.54400063,118.1279984,CZX,31.919701,119.778999
XMN,24.54400063,118.1279984,KMG,25.1019444,102.9291667
XMN,24.54400063,118.1279984,KOW,25.853333,114.778889
XMN,24.54400063,118.1279984,XIY,34.447102,108.751999
XNN,36.5275,102.042999,CKG,29.71920013,106.6419983
XNN,36.5275,102.042999,CTU,30.57850075,103.9469986
XNN,36.5275,102.042999,LXA,29.29780006,90.91190338
XNN,36.5275,102.042999,MIG,31.42810059,104.7409973
XNN,36.5275,102.042999,XIY,34.447102,108.751999
XNN,36.5275,102.042999,ZHY,37.573125,105.154454
XUZ,34.059056,117.555278,CTU,30.57850075,103.9469986
XUZ,34.059056,117.555278,DLC,38.96569824,121.5390015
XUZ,34.059056,117.555278,HRB,45.62340164,126.25
XUZ,34.059056,117.555278,KMG,25.1019444,102.9291667
XUZ,34.059056,117.555278,KWE,26.53849983,106.8010025
XUZ,34.059056,117.555278,SHE,41.63980103,123.4830017
YBP,28.80055556,104.545,SYX,18.30290031,109.4120026
YBP,28.80055556,104.545,XIY,34.447102,108.751999
YIH,30.55655,111.479988,CKG,29.71920013,106.6419983
YIH,30.55655,111.479988,CTU,30.57850075,103.9469986
YTY,32.5634,119.7198,CTU,30.57850075,103.9469986
ZHA,21.214399,110.358002,CKG,29.71920013,106.6419983
ZHY,37.573125,105.154454,PEK,40.08010101,116.5849991
ZHY,37.573125,105.154454,XNN,36.5275,102.042999
ZUH,22.006399,113.375999,CZX,31.919701,119.778999
ZUH,22.006399,113.375999,HAK,19.93490028,110.4589996
BAV,40.56000137,109.9970016,XIY,34.447102,108.751999
CGO,34.5196991,113.8410034,KMG,25.1019444,102.9291667
CGO,34.5196991,113.8410034,LJG,26.68000031,100.2460022
CKG,29.71920013,106.6419983,KMG,25.1019444,102.9291667
CKG,29.71920013,106.6419983,LJG,26.68000031,100.2460022
CKG,29.71920013,106.6419983,XUZ,34.059056,117.555278
CSX,28.18919945,113.2200012,FOC,25.93510056,119.663002
CSX,28.18919945,113.2200012,KMG,25.1019444,102.9291667
CSX,28.18919945,113.2200012,LJG,26.68000031,100.2460022
CSX,28.18919945,113.2200012,NKG,31.74200058,118.8619995
CTU,30.57850075,103.9469986,JZH,32.85333333,103.6822222
CTU,30.57850075,103.9469986,KMG,25.1019444,102.9291667
CTU,30.57850075,103.9469986,TCZ,24.93805556,98.48583333
CTU,30.57850075,103.9469986,TSN,39.12440109,117.3460007
DIG,27.7936,99.6772,KMG,25.1019444,102.9291667
DLC,38.96569824,121.5390015,TSN,39.12440109,117.3460007
DLC,38.96569824,121.5390015,WUH,30.7838,114.208
DLU,25.649401,100.319,JHG,21.97389984,100.7600021
DLU,25.649401,100.319,KMG,25.1019444,102.9291667
FOC,25.93510056,119.663002,CSX,28.18919945,113.2200012
FOC,25.93510056,119.663002,NNG,22.60829926,108.1719971
HAK,19.93490028,110.4589996,KMG,25.1019444,102.9291667
HET,40.851398,111.823997,TYN,37.74689865,112.6279984
HFE,31.78000069,117.2979965,KMG,25.1019444,102.9291667
HFE,31.78000069,117.2979965,LJG,26.68000031,100.2460022
HFE,31.78000069,117.2979965,PVG,31.14340019,121.8050003
HGH,30.22949982,120.4339981,KMG,25.1019444,102.9291667
HGH,30.22949982,120.4339981,KOW,25.853333,114.778889
JHG,21.97389984,100.7600021,DLU,25.649401,100.319
JHG,21.97389984,100.7600021,KMG,25.1019444,102.9291667
JHG,21.97389984,100.7600021,LJG,26.68000031,100.2460022
JZH,32.85333333,103.6822222,CTU,30.57850075,103.9469986
KMG,25.1019444,102.9291667,CGO,34.5196991,113.8410034
KMG,25.1019444,102.9291667,CKG,29.71920013,106.6419983
KMG,25.1019444,102.9291667,CSX,28.18919945,113.2200012
KMG,25.1019444,102.9291667,CTU,30.57850075,103.9469986
KMG,25.1019444,102.9291667,DIG,27.7936,99.6772
KMG,25.1019444,102.9291667,DLU,25.649401,100.319
KMG,25.1019444,102.9291667,HAK,19.93490028,110.4589996
KMG,25.1019444,102.9291667,HFE,31.78000069,117.2979965
KMG,25.1019444,102.9291667,HGH,30.22949982,120.4339981
KMG,25.1019444,102.9291667,JHG,21.97389984,100.7600021
KMG,25.1019444,102.9291667,KOW,25.853333,114.778889
KMG,25.1019444,102.9291667,KWE,26.53849983,106.8010025
KMG,25.1019444,102.9291667,KWL,25.21809959,110.0390015
KMG,25.1019444,102.9291667,LHW,36.51520157,103.6200027
KMG,25.1019444,102.9291667,LJG,26.68000031,100.2460022
KMG,25.1019444,102.9291667,LUM,24.4011,98.5317
KMG,25.1019444,102.9291667,NNG,22.60829926,108.1719971
KMG,25.1019444,102.9291667,PEK,40.08010101,116.5849991
KMG,25.1019444,102.9291667,PVG,31.14340019,121.8050003
KMG,25.1019444,102.9291667,SYM,22.793301,100.959
KMG,25.1019444,102.9291667,SYX,18.30290031,109.4120026
KMG,25.1019444,102.9291667,TCZ,24.93805556,98.48583333
KMG,25.1019444,102.9291667,TNA,36.85720062,117.2160034
KMG,25.1019444,102.9291667,TYN,37.74689865,112.6279984
KMG,25.1019444,102.9291667,WUH,30.7838,114.208
KMG,25.1019444,102.9291667,XIY,34.447102,108.751999
KMG,25.1019444,102.9291667,XNN,36.5275,102.042999
KMG,25.1019444,102.9291667,YIC,27.8025,114.3062
KMG,25.1019444,102.9291667,YIH,30.55655,111.479988
KOW,25.853333,114.778889,HGH,30.22949982,120.4339981
KOW,25.853333,114.778889,KMG,25.1019444,102.9291667
KWE,26.53849983,106.8010025,KMG,25.1019444,102.9291667
KWE,26.53849983,106.8010025,LJG,26.68000031,100.2460022
KWE,26.53849983,106.8010025,NKG,31.74200058,118.8619995
KWE,26.53849983,106.8010025,XUZ,34.059056,117.555278
KWL,25.21809959,110.0390015,KMG,25.1019444,102.9291667
KWL,25.21809959,110.0390015,XMN,24.54400063,118.1279984
LHW,36.51520157,103.6200027,KMG,25.1019444,102.9291667
LHW,36.51520157,103.6200027,URC,43.90710068,87.47419739
LJG,26.68000031,100.2460022,CGO,34.5196991,113.8410034
LJG,26.68000031,100.2460022,CKG,29.71920013,106.6419983
LJG,26.68000031,100.2460022,CSX,28.18919945,113.2200012
LJG,26.68000031,100.2460022,HFE,31.78000069,117.2979965
LJG,26.68000031,100.2460022,JHG,21.97389984,100.7600021
LJG,26.68000031,100.2460022,KMG,25.1019444,102.9291667
LJG,26.68000031,100.2460022,KWE,26.53849983,106.8010025
LJG,26.68000031,100.2460022,NGB,29.82670021,121.461998
LJG,26.68000031,100.2460022,NKG,31.74200058,118.8619995
LJG,26.68000031,100.2460022,SZX,22.63929939,113.810997
LJG,26.68000031,100.2460022,TYN,37.74689865,112.6279984
LJG,26.68000031,100.2460022,WUH,30.7838,114.208
LJG,26.68000031,100.2460022,XIY,34.447102,108.751999
LUM,24.4011,98.5317,KMG,25.1019444,102.9291667
LUM,24.4011,98.5317,PEK,40.08010101,116.5849991
NGB,29.82670021,121.461998,LJG,26.68000031,100.2460022
NGB,29.82670021,121.461998,YIH,30.55655,111.479988
NKG,31.74200058,118.8619995,CSX,28.18919945,113.2200012
